ID,Disease Name,Category,Symptom Description,Leaf Color,Spots Present,Humidity (%),Temperature (°C),Soil pH,Cause
2668,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,81.3,33.7,7.4,Fungus
2669,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,41.1,31.4,5.9,Bacteria
2670,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,70.2,17.7,7.4,Environmental
2671,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,48.0,34.4,6.3,Chemical
2672,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,40.6,30.4,6.3,Virus
2673,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,48.5,17.5,5.2,Fungus
2674,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,81.9,17.5,7.5,Virus
2675,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,53.1,16.2,5.9,Fungus
2676,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,59.8,22.3,4.6,Fungus
2677,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,88.5,27.0,4.9,Fungus
2678,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,72.3,27.4,4.6,Environmental
2679,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,50.2,24.3,4.7,Chemical
2680,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,70.4,25.1,6.0,Environmental
2681,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,78.8,22.1,5.6,Bacteria
2682,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,89.0,32.3,7.1,Fungus
2683,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,84.1,32.7,4.5,Deficiency
2684,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,57.4,20.3,4.9,Chemical
2685,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,55.3,27.5,5.1,Fungus
2686,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,70.0,33.7,5.4,Fungus
2687,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,66.2,22.2,6.2,Fungus
2688,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,70.5,24.1,5.3,Bacteria
2689,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,49.7,27.0,6.6,Fungus
2690,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,60.2,34.0,7.4,Fungus
2691,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,84.1,18.3,5.0,Chemical
2692,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,68.2,15.2,5.7,Fungus
2693,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,58.6,32.5,7.1,Chemical
2694,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,40.4,20.9,7.4,Virus
2695,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,66.6,30.0,5.2,Fungus
2696,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,67.9,28.7,7.3,Fungus
2697,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,67.2,17.4,6.0,Fungus
2698,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,80.8,18.6,5.1,Fungus
2699,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,56.9,21.4,4.6,Deficiency
2700,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,50.2,34.9,6.9,Fungus
2701,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,62.8,26.4,7.2,Environmental
2702,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,75.5,18.4,4.7,Deficiency
2703,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,86.3,26.8,5.6,Bacteria
2704,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,84.5,20.7,5.6,Fungus
2705,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,72.4,18.5,5.1,Fungus
2706,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,53.5,19.5,5.1,Bacteria
2707,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,47.0,26.1,6.9,Virus
2708,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,68.8,34.9,5.3,Bacteria
2709,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,71.0,33.3,6.2,Bacteria
2710,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,59.4,27.3,5.5,Fungus
2711,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,54.2,27.1,5.4,Chemical
2712,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,66.7,21.5,4.7,Fungus
2713,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,65.0,33.3,7.3,Fungus
2714,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,66.5,26.4,4.6,Deficiency
2715,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,55.5,29.7,7.0,Environmental
2716,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,59.4,33.8,6.0,Chemical
2717,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,80.4,16.0,5.3,Fungus
2718,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,64.1,31.7,5.9,Chemical
2719,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,85.4,20.9,7.0,Chemical
2720,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,85.3,15.6,6.8,Environmental
2721,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,86.1,31.4,6.4,Virus
2722,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,48.1,24.4,7.5,Virus
2723,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,87.2,31.1,5.3,Deficiency
2724,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,71.6,16.1,7.3,Bacteria
2725,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,46.8,28.5,5.4,Virus
2726,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,88.3,30.2,6.6,Bacteria
2727,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,82.8,16.5,6.3,Fungus
2728,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,63.2,32.0,5.9,Virus
2729,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,44.2,25.4,5.3,Chemical
2730,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,61.4,17.4,7.4,Virus
2731,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,85.1,17.3,5.3,Bacteria
2732,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,74.7,34.6,5.6,Environmental
2733,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,50.2,31.4,5.5,Bacteria
2734,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,60.1,28.7,4.7,Environmental
2735,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,60.5,23.3,5.0,Virus
2736,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,51.2,30.7,6.2,Virus
2737,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,79.6,19.1,5.4,Environmental
2738,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,51.5,22.9,6.2,Virus
2739,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,67.3,16.2,6.6,Environmental
2740,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,65.7,27.0,7.1,Bacteria
2741,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,73.1,26.8,5.7,Environmental
2742,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,45.2,24.6,4.7,Chemical
2743,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,81.6,26.3,6.1,Environmental
2744,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,59.4,21.3,4.6,Virus
2745,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,85.0,23.4,7.0,Chemical
2746,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,82.5,24.3,6.9,Fungus
2747,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,69.1,28.5,5.4,Environmental
2748,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,86.5,30.1,4.7,Fungus
2749,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,58.6,15.2,5.1,Fungus
2750,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,86.8,30.7,5.1,Environmental
2751,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,66.6,19.7,5.3,Virus
2752,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,81.6,23.6,6.8,Fungus
2753,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,62.5,21.4,5.6,Virus
2754,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,64.9,16.4,4.6,Virus
2755,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,88.1,23.9,7.2,Deficiency
2756,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,63.0,24.0,5.0,Virus
2757,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,72.0,32.5,5.5,Fungus
2758,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,61.2,29.6,7.3,Virus
2759,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,82.9,22.2,6.2,Environmental
2760,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,52.6,23.2,5.2,Environmental
2761,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,41.8,28.3,5.4,Chemical
2762,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,52.2,27.1,6.2,Fungus
2763,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,70.4,16.0,4.8,Fungus
2764,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,43.3,23.4,6.9,Fungus
2765,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,67.9,25.8,5.8,Bacteria
2766,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,79.1,31.3,7.1,Environmental
2767,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,65.9,34.8,6.2,Virus
2768,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,75.6,19.0,5.8,Deficiency
2769,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,41.4,15.7,4.9,Chemical
2770,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,43.8,23.7,4.9,Fungus
2771,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,68.7,25.1,5.3,Fungus
2772,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,57.7,27.3,6.3,Bacteria
2773,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,65.5,27.6,7.0,Environmental
2774,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,80.8,28.5,4.7,Fungus
2775,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,42.2,18.7,5.4,Environmental
2776,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,52.0,17.6,6.7,Fungus
2777,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,68.8,21.7,5.3,Fungus
2778,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,57.6,19.3,4.8,Virus
2779,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,78.9,22.3,6.4,Deficiency
2780,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,79.7,34.8,4.7,Chemical
2781,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,88.2,22.8,6.3,Virus
2782,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,48.6,18.2,5.7,Environmental
2783,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,61.0,15.7,7.3,Deficiency
2784,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,62.7,29.9,5.4,Environmental
2785,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,54.7,15.2,5.2,Fungus
2786,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,51.8,27.3,6.3,Chemical
2787,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,56.3,20.8,7.1,Virus
2788,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,44.9,25.3,5.3,Deficiency
2789,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,77.2,34.1,5.5,Fungus
2790,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,64.1,25.4,4.9,Deficiency
2791,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,46.9,28.2,7.3,Environmental
2792,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,42.2,30.4,5.2,Fungus
2793,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,63.4,29.6,6.9,Fungus
2794,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,43.4,16.6,6.1,Chemical
2795,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,41.0,27.6,4.6,Deficiency
2796,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,42.7,32.3,6.7,Chemical
2797,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,67.4,30.0,6.3,Environmental
2798,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,50.9,23.1,6.8,Virus
2799,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,84.5,21.1,4.7,Fungus
2800,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,59.1,24.3,6.4,Environmental
2801,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,52.4,23.6,4.8,Fungus
2802,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,45.4,28.6,4.9,Virus
2803,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,42.3,31.9,4.8,Bacteria
2804,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,84.8,33.2,7.4,Environmental
2805,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,56.4,17.5,6.7,Environmental
2806,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,87.2,30.6,6.3,Virus
2807,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,62.6,18.7,7.3,Fungus
2808,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,64.7,15.9,5.2,Bacteria
2809,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,87.8,20.5,7.1,Fungus
2810,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,77.4,19.3,4.8,Virus
2811,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,75.9,32.3,6.1,Environmental
2812,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,81.4,23.7,6.3,Virus
2813,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,67.5,21.3,7.0,Chemical
2814,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,68.7,19.2,5.3,Fungus
2815,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,73.2,19.1,6.0,Fungus
2816,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,48.8,17.7,5.7,Environmental
2817,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,72.4,29.3,4.8,Virus
2818,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,75.5,23.1,5.4,Environmental
2819,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,48.2,29.0,5.2,Chemical
2820,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,87.4,26.1,6.4,Fungus
2821,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,73.5,26.2,4.6,Chemical
2822,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,49.5,17.7,6.3,Fungus
2823,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,47.0,30.4,7.1,Chemical
2824,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,70.1,21.6,6.2,Environmental
2825,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,62.2,15.1,5.7,Virus
2826,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,52.4,19.3,5.8,Fungus
2827,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,86.5,28.9,6.2,Chemical
2828,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,49.0,26.7,6.1,Bacteria
2829,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,81.5,23.4,5.3,Fungus
2830,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,62.2,30.3,6.9,Virus
2831,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,76.8,17.1,6.9,Virus
2832,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,58.1,15.3,5.0,Bacteria
2833,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,49.0,30.3,4.7,Bacteria
2834,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,47.0,21.5,5.4,Bacteria
2835,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,79.8,27.7,7.5,Fungus
2836,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,80.8,21.3,5.1,Fungus
2837,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,41.2,23.8,5.1,Chemical
2838,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,82.9,33.6,6.7,Chemical
2839,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,52.4,26.2,5.9,Fungus
2840,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,58.8,18.7,5.6,Bacteria
2841,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,72.1,17.7,5.4,Fungus
2842,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,52.9,31.4,7.5,Virus
2843,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,52.1,32.9,6.5,Fungus
2844,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,59.0,34.7,5.2,Environmental
2845,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,84.2,30.8,4.9,Fungus
2846,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,72.3,33.2,6.7,Chemical
2847,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,60.5,19.3,4.6,Deficiency
2848,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,59.7,18.8,4.6,Bacteria
2849,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,59.8,26.1,6.5,Fungus
2850,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,62.3,24.0,6.6,Fungus
2851,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,83.4,25.6,5.4,Bacteria
2852,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,54.2,34.1,6.1,Bacteria
2853,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,73.6,30.1,7.1,Fungus
2854,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,54.6,23.5,6.7,Deficiency
2855,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,51.5,29.2,6.1,Virus
2856,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,88.6,15.3,5.5,Bacteria
2857,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,89.7,22.2,7.4,Fungus
2858,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,49.2,34.5,6.2,Fungus
2859,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,63.8,18.8,5.2,Deficiency
2860,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,54.3,34.5,6.3,Virus
2861,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,64.2,26.7,6.9,Fungus
2862,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,66.1,24.1,7.3,Fungus
2863,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,66.6,25.8,6.7,Bacteria
2864,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,88.1,30.8,5.0,Environmental
2865,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,60.0,29.3,6.6,Virus
2866,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,80.2,33.3,4.5,Virus
2867,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,59.4,29.4,6.3,Virus
2868,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,49.3,15.1,5.8,Fungus
2869,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,69.1,20.3,4.8,Fungus
2870,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,64.1,25.2,4.6,Bacteria
2871,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,50.1,33.0,5.1,Environmental
2872,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,68.8,33.8,4.8,Deficiency
2873,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,67.8,32.7,6.7,Environmental
2874,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,79.9,23.3,6.1,Virus
2875,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,60.5,23.8,4.5,Fungus
2876,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,43.6,15.8,5.4,Deficiency
2877,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,83.7,34.6,4.6,Virus
2878,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,70.8,23.8,6.8,Fungus
2879,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,71.6,27.4,4.9,Bacteria
2880,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,79.4,21.2,5.7,Deficiency
2881,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,44.5,16.0,5.8,Virus
2882,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,50.9,34.2,5.3,Environmental
2883,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,71.4,33.9,7.1,Fungus
2884,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,54.0,16.5,4.6,Virus
2885,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,75.8,25.3,6.1,Bacteria
2886,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,64.1,21.4,6.3,Fungus
2887,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,82.0,19.9,5.1,Deficiency
2888,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,81.1,21.1,6.6,Fungus
2889,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,79.9,16.8,5.4,Chemical
2890,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,42.9,26.2,6.3,Bacteria
2891,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,83.1,31.5,6.1,Environmental
2892,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,53.3,30.7,7.3,Fungus
2893,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,45.1,27.0,5.8,Bacteria
2894,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,74.8,33.8,6.6,Bacteria
2895,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,70.7,26.2,5.9,Fungus
2896,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,68.5,18.6,6.1,Fungus
2897,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,87.9,20.2,4.9,Fungus
2898,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,78.6,28.5,6.4,Fungus
2899,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,50.1,18.6,6.7,Fungus
2900,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,64.0,22.4,6.4,Bacteria
2901,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,81.9,32.6,5.9,Fungus
2902,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,59.7,26.4,5.2,Bacteria
2903,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,52.7,26.8,7.1,Chemical
2904,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,56.9,25.8,7.2,Environmental
2905,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,78.0,27.9,6.7,Virus
2906,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,78.3,31.8,4.9,Bacteria
2907,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,68.5,15.8,6.0,Virus
2908,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,66.6,22.6,6.8,Fungus
2909,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,84.2,33.3,5.4,Environmental
2910,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,74.4,15.8,6.1,Virus
2911,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,55.4,26.4,7.0,Environmental
2912,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,75.9,29.5,6.8,Chemical
2913,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,54.3,19.6,6.1,Fungus
